,0,1,2,3
0,0.130595162511,0.999999761581,0.0789897665381,0.999997496605
1,4.67120935355e-06,0.149548143148,0.629178702831,0.999997973442
2,0.720460057259,5.30287115907e-06,0.999999523163,0.999533772469
3,0.999898910522,0.171060547233,0.912424266338,0.17743986845
4,2.37386993831e-05,0.179292947054,0.999292850494,0.320391029119
5,0.999997615814,0.999996304512,3.47534341927e-06,0.999992132187
6,0.334987610579,1.07962669063e-05,0.406624168158,2.80072003989e-06
7,0.000562564586289,0.999988555908,0.278162777424,0.176233962178
8,0.999999165535,0.000652978604194,0.301059484482,0.977244615555
9,6.71415705256e-07,0.295127928257,1.12812119824e-06,0.292932838202
10,0.683722734451,0.985682785511,6.10647839494e-05,0.103107251227
11,0.997680902481,0.255400180817,0.0899114757776,0.17112749815
12,0.154713094234,0.86649274826,0.999783098698,1.2422366126e-05
13,0.999997377396,0.999999761581,0.999983787537,3.70042516806e-06
14,0.350462436676,0.168227061629,9.44687053561e-06,0.999998688698
15,1.79676521839e-06,0.999994635582,0.999998927116,0.998817622662
0,0.75709271431,0.0327439345419,0.999992370605,0.0343181490898
1,9.72223551798e-06,0.999997138977,0.999232888222,0.999996781349
2,0.999997496605,6.7196474447e-06,0.999995708466,0.999995827675
3,0.123806275427,0.999925613403,0.030580593273,0.645822286606
4,0.701121211052,0.999999523163,6.93158244758e-06,0.155120924115
5,1.33094854391e-05,0.672037661076,0.210288956761,1.43405395647e-05
6,1.13578880701e-05,0.220211029053,0.916250050068,9.05606157175e-06
7,0.999999284744,0.999989628792,0.999996423721,4.07351126341e-06
8,0.0414332039654,0.00827647652477,0.999995946884,0.719208776951
9,0.000634519325104,0.999996304512,0.999992370605,0.170046523213
10,0.999999761581,0.354166358709,0.21900819242,1.16276885365e-06
11,0.375737845898,2.78579477708e-06,0.290731668472,0.999999046326
12,0.325339406729,3.78725349037e-06,0.189977526665,1.20805088955e-06
13,0.99999833107,0.99998152256,5.16929276273e-06,0.999997138977
14,0.99999666214,0.0520079098642,0.0764773711562,0.642142474651
15,3.5688196931e-06,0.241781383753,1.7131877712e-06,0.491057753563
0,0.999998092651,0.175566062331,0.570641458035,0.00158793712035
1,0.470203369856,0.0792121514678,2.34807316701e-06,0.999996423721
2,0.993619263172,0.999979138374,1.42528724609e-05,0.999995470047
3,0.999995231628,0.999991178513,0.999996542931,2.11515657611e-06
4,0.999980449677,0.999993085861,0.208764597774,0.0117183076218
5,9.08189485926e-06,0.791436851025,0.121762908995,0.999995827675
6,0.999999403954,0.16466191411,1.59869068739e-06,0.479184299707
7,0.121381647885,1.83644522167e-06,0.623012125492,0.999994754791
8,2.43381464315e-06,1.18801517601e-05,0.0876340270042,0.478988170624
9,0.422214895487,0.188691094518,2.18441437028e-06,6.30341673968e-07
10,0.0601227432489,0.999997496605,0.707224845886,0.126875817776
11,0.171390220523,0.999643445015,8.69397899805e-06,0.228062137961
12,7.98944711278e-06,0.909034609795,0.99999833107,0.999245405197
13,3.63690787708e-06,0.232255250216,0.573839366436,1.22819892567e-06
14,0.457859754562,6.27252120466e-07,0.999998807907,0.36130130291
15,0.999998569489,8.38661162561e-06,0.665227532387,0.999995231628
0,0.535822987556,0.0935890749097,0.000451480591437,7.54046709517e-07
1,0.120896473527,0.910703480244,0.0982262119651,1.79454000317e-05
2,0.371007472277,2.63665765488e-06,0.999997973442,0.375516712666
3,7.8169250628e-06,0.999996781349,0.999826490879,0.999993920326
4,0.405740946531,0.087209366262,6.01239253228e-06,0.999998927116
5,2.72727652373e-06,0.249201655388,0.531780838966,1.2115433492e-06
6,0.930888831615,0.887542963028,2.48653886956e-05,1.36921753437e-05
7,0.999992370605,0.999997138977,1.28804265387e-06,0.999995350838
8,0.999998450279,0.999999165535,0.999989390373,2.01329476113e-06
9,1.6540791421e-06,0.0889028310776,2.66769961854e-06,0.416779011488
10,9.36190281209e-06,0.112647779286,0.640754759312,0.999994874001
11,0.168566808105,0.999998807907,0.999948978424,0.141501545906
12,1.48710923895e-05,0.743740677834,1.85047465493e-05,0.827358961105
13,0.999977588654,0.0278714820743,0.609340488911,0.142506077886
14,0.999999165535,1.19394853755e-05,0.786345422268,0.999992132187
15,0.999998450279,0.0901412665844,2.7273752039e-06,0.556550860405
0,0.00619440199807,0.71314907074,6.62203501633e-06,0.999512553215
1,1.60299969139e-05,0.99999165535,0.277164578438,0.261530578136
2,0.0684263929725,8.66942264111e-06,0.999977707863,0.336297720671
3,0.999930500984,0.999998927116,4.01329953092e-06,0.915245950222
4,0.157646939158,0.752361238003,0.999993085861,0.00412911036983
5,0.429191142321,1.76266644303e-06,0.321513146162,4.90126581099e-07
6,0.999982953072,0.229904815555,0.99999833107,0.157366842031
7,0.56729465723,0.818142652512,1.08149297375e-05,2.77507224382e-05
8,0.99998831749,0.235106542706,5.13891109222e-06,0.311954975128
9,0.752203941345,0.0943597480655,3.35438417096e-05,0.999999165535
10,1.72582804225e-05,0.368655622005,3.60446779268e-06,0.105272978544
11,1.01265131889e-05,2.00714202947e-05,0.765362977982,0.999980568886
12,0.0187356267124,2.63142173935e-05,0.00860646180809,0.686900913715
13,0.999977946281,4.19173375121e-06,0.99998652935,0.999994158745
14,1.91312850006e-07,0.999998927116,0.999992132187,0.999997258186
15,0.99965941906,0.999999642372,0.834963083267,8.16318618035e-07
