,0,1,2,3,4,5,6,7
0,0.859461843967,0.999999761581,6.5119172632e-07,0.999572217464,1.73811645254e-06,0.0410332679749,0.000569705560338,0.756724834442
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999135077
2,0.705951571465,1.0,0.999999880791,8.83403117768e-05,1.0,0.00282451510429,3.23120872281e-07,9.12955511012e-05
3,0.152021288872,0.999999880791,7.75470084591e-07,0.998417258263,3.24319489664e-06,0.0102313729003,0.00026997239911,0.52793097496
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999135315418
5,3.11411234577e-08,1.0,1.67596795109e-06,0.661805868149,5.07968870807e-05,1.96635864995e-05,1.00112583823e-05,0.0121332677081
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999134600163
7,2.21297810299e-07,1.0,0.123614408076,0.00726637477055,0.99558866024,1.77729743882e-05,9.71103872871e-07,0.000470806437079
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999135077
9,1.0,1.0,1.0,0.998827397823,1.0,1.0,0.210429862142,0.000657731376123
10,2.12040918157e-09,1.0,0.000775185297243,0.0255194026977,0.232304692268,4.17363207816e-06,1.33835897032e-06,0.000754587235861
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999135315418
12,0.000494678446557,1.0,0.998749256134,0.000871562864631,0.999999880791,0.000194817796,5.65722586998e-07,0.000214741681702
13,1.0,1.0,1.0,0.999954819679,1.0,1.0,0.719483315945,0.00269066100009
14,0.999146580696,1.0,1.0,0.00249439408071,1.0,0.550249934196,6.45618683848e-06,0.000114693604701
15,0.999999880791,1.0,1.0,0.44704324007,1.0,0.999938607216,0.000919993151911,0.000188437581528
0,1.0,1.0,1.0,9.85295690334e-18,0.709357619286,0.133785575628,4.25236115946e-17,1.0
1,0.00358268502168,0.0329133830965,0.999996185303,1.0,0.999871253967,0.950869619846,1.0,0.944361805916
2,0.215946614742,8.92381285666e-05,0.999941945076,1.0,0.99718105793,0.852405250072,1.0,0.127814665437
3,1.0,1.0,0.0114102195948,7.41159477541e-12,6.2405175413e-05,0.217564314604,8.15013126432e-11,0.489094346762
4,1.0,1.0,1.0,1.52257282468e-17,0.339851558208,0.0701961815357,6.5906594687e-17,1.0
5,1.0,1.0,0.99893039465,2.51915757135e-13,0.00145230395719,0.244176566601,2.21673504205e-12,0.999997258186
6,1.0,0.287765085697,0.318238675594,0.00111121719237,0.00320654246025,0.23122805357,0.0377002842724,0.00172785506584
7,2.0510467948e-05,0.975504636765,0.999999880791,1.0,0.999996781349,0.987894952297,1.0,0.999793350697
8,0.999364316463,6.63143706614e-10,0.986587464809,0.999999284744,0.428672462702,0.34203338623,1.0,1.14843633128e-05
9,1.0,0.00639617117122,0.494112074375,0.0451978296041,0.0070083765313,0.234013572335,0.677641928196,0.000492241932079
10,1.0,1.0,1.0,5.30890365562e-20,1.0,0.998830616474,2.21335980181e-19,1.0
11,0.999999880791,0.000164115946973,0.652689099312,0.568120539188,0.0139649119228,0.236502110958,0.986253619194,0.000161606643815
12,1.0,1.0,0.341556966305,2.28004139007e-12,0.000135416019475,0.195021316409,2.3037046229e-11,0.99034434557
13,1.0,1.0,1.0,3.2320268842e-18,0.992497742176,0.492399126291,1.38454773059e-17,1.0
14,1.0,0.967916965485,0.177823007107,2.23354654736e-05,0.00141663267277,0.228350445628,0.000617385958321,0.00637181056663
15,1.0,1.0,1.0,5.30995669531e-20,1.0,0.998830258846,2.21378218091e-19,1.0
0,0.071967355907,1.0,0.0235335472971,0.999996542931,0.000550411175936,1.91275077555e-07,0.999263226986,0.00103567866609
1,3.91955391754e-12,0.999999642372,1.0,1.66420754955e-09,0.99999833107,0.999601781368,0.00122976943385,1.0
2,0.999807417393,0.982770860195,0.000237076776102,1.0,2.9365732189e-05,0.00033098977292,5.42827910976e-05,0.982121706009
3,2.8896083677e-05,1.0,0.973437786102,0.997879266739,0.00886294804513,2.48785045187e-06,0.999990105629,0.17572170496
4,3.91956866269e-12,0.999999642372,1.0,1.66422975401e-09,0.99999833107,0.999601781368,0.00122979481239,1.0
5,0.969171226025,1.0,0.000108307031041,1.0,6.80589073454e-05,3.76707696148e-08,0.973650872707,3.10260766128e-05
6,2.68005704435e-11,0.999999880791,1.0,6.06619141763e-06,0.998499155045,0.385728091002,0.995760977268,0.999999642372
7,0.997553408146,0.999980688095,0.000160150739248,1.0,4.46223966719e-05,3.57658836947e-06,0.0420305356383,0.0404045209289
8,0.999999165535,2.07857847272e-05,0.00107938889414,1.0,1.81688828889e-05,0.904293000698,2.41035559567e-11,1.0
9,1.0,5.33422417348e-10,1.0,1.0,0.999197661877,1.0,7.47361058339e-17,1.0
10,1.0,5.33393940128e-10,1.0,1.0,0.999197661877,1.0,7.47309773141e-17,1.0
11,1.0,5.33426525173e-10,1.0,1.0,0.999197661877,1.0,7.4736390384e-17,1.0
12,0.999999642372,1.74560341293e-06,0.474423795938,1.0,0.00112896645442,0.999623298645,1.24844481541e-12,1.0
13,8.96527296845e-09,1.0,0.99998486042,0.396148473024,0.134197458625,3.45734333678e-05,0.999999880791,0.980451762676
14,0.999985814095,0.0497646555305,0.000354981981218,1.0,1.91193066712e-05,0.0334839001298,5.6086371103e-08,0.999988555908
15,1.0,5.33398047953e-10,1.0,1.0,0.999197661877,1.0,7.47315397969e-17,1.0
0,0.00476835621521,0.9831610322,0.0256837941706,1.0,0.896356105804,0.446768045425,0.380841135979,0.0471059307456
1,0.00276159332134,0.000981328892522,1.0,0.999846816063,1.0,5.06322539877e-05,0.316556483507,1.08083114014e-07
2,0.999654173851,1.0,1.0,1.0,1.0,1.0,4.02019624459e-15,1.0
3,0.986497104168,0.0173702426255,0.999943137169,4.84269094159e-07,0.95386660099,6.44124738756e-05,0.999994754791,9.73875415866e-08
4,0.999654173851,1.0,1.0,1.0,1.0,1.0,4.02022716129e-15,1.0
5,0.178287804127,0.000226772055612,0.999999642372,0.0164367631078,0.99999833107,3.23914864566e-05,0.999683380127,8.76202044253e-09
6,0.930378198624,0.988756239414,0.0635296106339,0.96043330431,0.00440962566063,0.043338727206,0.99926918745,0.0027138881851
7,0.999478280544,0.308606624603,0.996984422207,4.45229986212e-09,0.0247493144125,0.000162779077073,0.999999284744,9.04175294636e-07
8,0.996655344963,0.974169969559,0.292193740606,0.000790529011283,0.00074211350875,0.00726781319827,0.999975562096,0.000283714267425
9,0.130286201835,1.0,1.0,1.0,1.0,0.997917115688,1.14575427799e-14,1.0
10,0.00873295497149,2.06178756343e-05,1.0,0.840267896652,1.0,2.21559694182e-05,0.99697124958,2.32595054328e-09
11,0.000759226910304,0.542156755924,1.0,1.0,1.0,0.000224406088819,1.02972489913e-05,9.94586880552e-05
12,0.928533434868,0.999987840652,3.93772916141e-06,0.999998688698,1.51547465066e-06,0.837408304214,0.989826083183,0.852204978466
13,0.00203853286803,1.0,1.0,1.0,1.0,0.390388309956,1.81523124711e-14,0.999961614609
14,0.999654173851,1.0,1.0,1.0,1.0,1.0,4.02031906437e-15,1.0
15,0.000139849405969,0.999921560287,1.0,1.0,1.0,0.00157331279479,8.38312145396e-12,0.429445236921
0,2.69134397968e-06,0.0152558991686,0.986798584461,1.28006782951e-09,4.04372798357e-07,0.965880811214,0.957077682018,0.256108909845
1,0.0038902356755,0.993816673756,0.00130536803044,1.0,1.0,0.980411171913,0.999985337257,0.00141960510518
2,0.357943087816,1.0,0.993179321289,1.18529042137e-09,0.997952818871,0.999999880791,1.0,8.08648619568e-05
3,1.08572749014e-06,0.000266928720521,0.000945778563619,0.999993443489,0.491337776184,1.61418469702e-08,0.999993920326,0.746487677097
4,8.83822721676e-08,2.4402701456e-05,0.981137633324,3.64986817658e-06,9.90857973449e-09,0.994186878204,0.00773704983294,0.326056599617
5,8.99333736015e-06,0.126433581114,0.965377569199,0.999998450279,0.0311367977411,1.0,0.000233292186749,4.54090841231e-05
6,1.0,1.0,0.999888539314,1.0,1.0,1.0,1.0,0.987252652645
7,1.03900028989e-05,0.0156578868628,0.000311118172249,1.0,0.999695181847,4.5955497626e-05,0.999991893768,0.0487713217735
8,1.0,1.0,0.999888539314,1.0,1.0,1.0,1.0,0.987253725529
9,8.38802122871e-07,0.000512189522851,0.142311140895,0.996246755123,0.00301415543072,0.107887335122,0.953908979893,0.144116669893
10,1.0,1.0,0.999888539314,1.0,1.0,1.0,1.0,0.987253725529
11,1.91978486441e-07,5.10018180648e-05,0.635924756527,0.00868341233581,3.13590317091e-06,0.129988104105,0.574916005135,0.447729796171
12,0.00040873902617,0.995529472828,0.992414057255,6.92393919977e-10,0.00151252420619,0.999925374985,0.999937057495,0.00994843896478
13,0.000124422149383,0.809280693531,0.0400562137365,0.0169823803008,0.818338274956,1.74478955159e-05,1.0,0.256169617176
14,9.67899632087e-06,0.0367684550583,0.0287536233664,1.0,0.970698773861,0.991644918919,0.97484266758,0.00294356280938
15,0.563856244087,0.999997019768,0.0496700778604,1.0,1.0,0.999840259552,0.999996304512,0.0179391223937
