,Classes,GI_10047091-S,GI_10047093-S,GI_10047103-S,GI_10047133-A,GI_10092596-S,GI_10092600-S,GI_10092616-S,GI_10092618-S,GI_10092672-S,GI_10190705-S,GI_10190745-S,GI_10257436-S,GI_10337596-S
WGAAD88,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD89,2,0,0,0,0,1,0,0,0,0,0,0,0,0
WGAAD90,2,0,0,0,0,0,0,0,0,0,0,0,1,0
WGAAD91,2,0,0,0,0,0,0,0,0,1,0,0,0,0
WGAAD92,2,0,0,0,0,0,0,0,0,0,0,0,1,0
WGAAD93,2,0,0,0,0,1,0,0,0,0,0,0,1,0
WGAAD94,2,1,0,0,0,0,0,0,0,1,0,0,0,1
WGAAD95,2,0,0,0,0,0,0,1,1,0,0,0,0,0
WGAAD96,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD97,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD98,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD99,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD100,2,0,0,0,0,0,0,0,0,0,1,1,0,0
WGAAD101,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD102,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD103,2,0,0,0,0,0,0,0,0,0,1,0,0,0
WGAAD104,2,0,0,1,0,0,0,0,1,0,0,0,0,0
WGAAD105,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD106,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD107,2,0,0,1,0,1,0,0,0,0,0,0,0,0
WGAAD108,2,0,0,0,0,0,0,0,0,1,0,0,0,0
WGAAD109,2,0,0,1,0,0,1,1,0,0,0,0,1,0
WGAAD110,2,0,1,0,0,1,0,0,0,0,0,0,0,0
WGAAD111,2,0,0,0,1,0,0,0,0,0,0,0,0,0
WGAAD112,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD113,2,0,1,0,0,0,0,0,1,0,0,1,0,0
WGAAD114,2,0,1,0,0,0,1,0,1,0,0,0,0,0
WGAAD115,2,1,0,0,1,0,0,0,0,0,0,1,0,0
WGAAD116,2,0,0,0,1,0,0,0,0,0,0,0,0,1
WGAAD117,2,1,0,0,1,0,0,0,0,0,0,0,0,0
WGAAD118,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD119,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD120,2,0,0,0,0,1,0,0,0,0,0,0,0,0
WGAAD121,2,0,0,0,1,1,0,0,0,0,0,0,0,0
WGAAD122,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD123,2,0,0,0,0,0,0,1,0,0,0,1,0,0
WGAAD124,2,0,0,1,0,0,0,0,0,0,0,0,0,0
WGAAD125,2,0,0,0,1,0,0,0,0,1,0,0,0,0
WGAAD126,2,0,0,0,0,0,0,0,0,0,0,0,1,0
WGAAD127,2,0,0,0,0,0,1,0,0,0,1,0,0,0
WGAAD128,2,0,0,0,0,1,0,1,1,0,0,0,0,0
WGAAD129,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD130,2,0,0,0,0,0,0,0,0,0,0,0,1,0
WGAAD131,2,1,1,0,0,0,0,0,0,0,0,1,0,0
WGAAD132,2,0,0,0,1,0,0,0,0,0,0,0,0,0
WGAAD133,2,1,1,0,0,0,0,0,0,0,0,1,0,0
WGAAD134,2,0,0,0,0,0,0,1,0,1,0,0,0,0
WGAAD135,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD136,2,0,0,0,0,0,0,0,1,0,0,0,0,1
WGAAD137,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD138,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD139,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD140,2,0,0,0,0,1,0,0,0,0,0,0,0,0
WGAAD141,2,0,0,0,0,0,0,1,0,0,0,0,0,0
WGAAD142,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD143,2,0,0,0,0,1,0,0,0,0,0,0,0,0
WGAAD144,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD145,2,0,0,1,0,0,1,0,1,0,1,0,0,1
WGAAD146,2,0,0,0,1,0,0,0,0,1,0,0,0,0
WGAAD147,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD148,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD149,2,0,0,0,0,0,0,1,0,0,0,0,0,0
WGAAD150,2,0,0,0,0,1,0,0,0,0,0,0,1,0
WGAAD151,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD152,2,0,0,0,0,0,0,0,0,0,0,0,1,0
WGAAD153,2,1,1,0,0,0,0,0,0,1,1,0,0,0
WGAAD154,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD155,2,0,1,0,1,0,0,0,0,0,1,1,0,0
WGAAD156,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD157,2,0,1,0,0,0,0,0,0,0,1,0,0,1
WGAAD158,2,1,0,0,0,0,0,0,0,1,0,0,0,0
WGAAD159,2,0,0,0,0,0,0,0,1,0,1,0,0,0
WGAAD160,2,0,0,0,0,0,0,0,0,0,1,0,0,1
WGAAD161,2,0,0,0,1,0,0,0,0,0,0,0,0,0
WGAAD162,2,0,0,0,0,0,0,0,0,0,0,0,0,0
