,0,1
262, GI_14141194-S,
263, GI_13129119-S,
264, GI_13375617-S,
265, GI_13375659-S,
266, GI_10862697-S,
267, GI_10863874-S,
268, GI_15011919-S,
269, GI_16445394-S,
270, GI_13376030-A,
271, GI_16507968-S,
272, GI_14591933-S,
273, GI_13375845-S,
274, GI_14149984-S,
275, GI_16554626-I,
276, GI_10863934-S,
277, GI_14790137-S,
278, GI_14591905-S,
279, GI_13112047-A,
280, GI_13236539-S,
281, GI_15011915-A,
282, GI_15451934-I,
283, GI_15011912-S,
284, GI_12408641-S,
285, GI_10947034-S,
286, GI_14150099-S,
287,GI_10047093-S,
288, GI_11968050-S,
289, GI_13376403-S,
290, GI_14270477-I,
291, GI_11034854-S,
292, GI_11863157-S,
293, GI_14165451-A,
294, GI_11641417-S,
295, GI_14249309-S,
296, GI_13787194-S, GI_14249309-S
297, GI_14165460-I, GI_14249309-S
298, GI_13540508-S,
299, GI_15812192-S,
300, GI_15812199-A,
301, GI_12408645-S,
302, GI_10947030-S,
303, GI_13376090-S,
304, GI_13376199-S,
305, GI_14702179-A,
306, GI_14670395-A,
307, GI_14165455-A,
308, GI_10801344-S,
309, GI_14249503-S,
310, GI_15431302-S,
311, GI_16306529-S,
312, GI_13775195-S,
313, GI_15431308-S,
314, GI_13129101-S,
315, GI_14149741-S,
316, GI_13129023-S,
317, GI_15834623-S,
318, GI_14149626-S,
319, GI_16506300-S,
320, GI_13325060-S,
321, GI_10863972-S,
322, GI_13325063-S,
323, GI_16554580-S,
324, GI_15147332-S,
325, GI_14249533-S,
326, GI_16753213-S,
327, GI_11496268-S,
328, GI_11386190-S,
329, GI_14042969-S,
330, GI_15149469-S,
331, GI_13375675-S,
332, GI_14591934-S,
333, GI_12545386-S,
334, GI_10863902-S,
335, GI_15451787-S,
336, GI_15718766-A,
337, GI_10947032-S,
338, GI_13375980-S,
339, GI_11038645-S,
340, GI_16306579-S,
341, GI_16554608-I,
342, GI_13376420-S,
343, GI_14670385-S,
344, GI_13128967-S,
345, GI_15022800-A,
346, GI_10863996-S,
347, GI_13027601-S,
348, GI_13027637-S,
349, GI_16332359-A,
350, GI_15718688-A,
351, GI_13194196-S,
352, GI_14211858-S,
353, GI_13929470-S,
354, GI_16306547-S,
355, GI_15451891-S,
356, GI_14150097-S,
357, GI_15011973-S,
358, GI_16905508-A,
359, GI_10864012-S,
360, GI_16306540-S,
361, GI_13386483-S,
362, GI_13569839-S,
363, GI_11321582-S,
364, GI_13994272-S,
365, GI_16904380-S,
366, GI_14589853-A,
367, GI_13027379-S,
368, GI_11995467-S,
369, GI_16753216-A,
370, GI_10864030-S,
371, GI_14249467-I, GI_10864030-S
372, GI_13376746-S, GI_10864030-S
373, GI_10864016-S,
374, GI_13787194-S,
375, GI_12232456-S, GI_13787194-S
376, GI_13376182-S, GI_13787194-S
377, GI_16753217-S,
378, GI_16306497-A,
379, GI_13654234-A,
380, GI_14916518-S,
381, GI_14042940-S,
382, GI_16507197-S,
383, GI_15451871-S,
384, GI_15431304-A,
385, GI_11496890-S,
386, GI_13899326-S,
387, GI_14589859-I,
388, GI_10863908-S,
389, GI_16554588-A,
390, GI_13899238-S,
391, GI_10947053-A,
392, GI_13775201-S,
393, GI_14589955-S,
394, GI_12025664-S, GI_14589955-S
395, GI_13904869-S,
396, GI_15431300-S,
397, GI_16507961-I,
398, GI_16445420-A,
399, GI_14971414-S,
400, GI_15451788-S,
401, GI_12056467-A,
402, GI_14249315-S,
403, GI_16905527-A,
404, GI_14670391-A,
405, GI_13376446-S,
406, GI_14149608-S,
407, GI_11641260-S,
408, GI_10863950-S,
409, GI_13435160-A,
410, GI_14149729-S,
411, GI_14150059-S,
412, GI_12545405-A,
413, GI_14211872-S,
414, GI_11345453-S,
415, GI_16306569-S,
416, GI_14149901-S,
417, GI_13376330-S,
418, GI_14150170-S,
419, GI_13430847-S,
420, GI_13786122-S,
421, GI_15011917-S,
422, GI_15451913-S,
423, GI_14141149-S,
424, GI_13376428-S,
425, GI_14150040-S,
426, GI_16306562-S,
427, GI_13518031-S,
428, GI_14589934-I,
