,0
0,GI_11037056-S
1,GI_11141876-S
2,GI_12232372-S
3,GI_12232386-S
4,GI_12957487-S
5,GI_13375694-S
6,GI_13376207-S
7,GI_13899238-S
8,GI_14043031-A
9,GI_14141188-S
10,GI_14211888-S
11,GI_14249307-S
12,GI_14591917-S
13,GI_15451788-S
14,GI_16117795-A
