,S_euc,D_euc,S/D_euc,S_cos,D_cos,S/D_cos
2,25.22133856930553,11.736965930731191,2.1488806151569264,25.22133856930553,11.736965930731191,2.1488806151569264
3,23.507823458202136,16.602139700802503,1.4159514304692804,23.553728708087146,16.065540390487683,1.4661024861655558
4,22.351209389391926,17.489551203627851,1.2779750108599484,22.362776797309341,17.424870943874812,1.283382635621201
5,21.478616373843032,19.951808122311469,1.0765248062818016,21.504639074819629,19.446153462222611,1.1058556704592488
6,20.976223792389646,19.416822584053339,1.0803118636731539,20.994605884553916,19.67252130833047,1.0672046330768796
7,20.434858888586376,20.186712609287369,1.0122925552120281,20.643380937836948,21.249156527451568,0.97149178185816343
8,20.426948791773192,20.407576576228749,1.0009492658509491,20.173718252919372,21.020236554623608,0.95972841221341842
9,20.191382201782929,21.202322526474124,0.95231935919148047,19.955646375789879,20.62295407353756,0.96764247763108102
10,19.822266156883732,21.457581516728197,0.92378845870539583,19.743849142638023,21.787732673274487,0.9061910864574011
11,19.486284962383433,20.464954687038855,0.95217826085511703,19.187214198948375,21.121148101738893,0.9084361373976968
12,19.461614643585708,20.568725475822063,0.946175039696177,18.764829243707513,22.42708511893294,0.83670388479804048
13,19.27895182010494,21.227083476980944,0.90822424291172188,19.042656324046877,23.26285343523579,0.81858643768968331
14,18.993714743528383,21.735855008795401,0.87384253970421621,18.812170983808191,22.699545266801337,0.82874660098682551
15,18.420471069833567,23.675213103443216,0.77804879683024175,18.184915893223607,23.318116611564854,0.77986212163484148
16,18.103124459307658,23.613363237418781,0.76664743930337909,18.379665920181854,23.33020540990298,0.78780557638726278
17,18.339064951468913,23.235509170454652,0.78926890807231109,18.371780254529437,22.659000445514238,0.81079394030227248
18,17.35963345631383,24.565340630874285,0.70667179898559374,18.650897699126364,23.240634948392191,0.80251239867336976
19,17.693240296218992,25.134389144584283,0.70394550647081711,17.839869456401633,24.93522530045621,0.7154484967126099
20,17.479402817835158,25.016244461642646,0.69872209814052177,17.26798633487196,24.81219809224439,0.69594746385123596
21,17.226465935177526,25.945273901445415,0.66395390546321564,17.065038512055043,25.84485407226116,0.66028767136165245
22,16.630580521153245,25.483562575864561,0.65260029760925342,16.58200714598901,25.82214234944664,0.64216233190831118
23,17.294188809700437,26.231543533465299,0.65928978931937832,17.311292548652656,26.353788249445842,0.65688061180413682
24,16.336223166908258,27.069201541510935,0.60349852365820511,16.905838567054499,26.720649055093045,0.6326881705679297
25,16.477350430690979,27.079482618991392,0.60848099140325074,16.232957131609009,27.684021801968374,0.58636556666975392
26,17.009006486958292,27.421008859955304,0.62029105398079132,16.337539639722092,27.759660904671051,0.58853527410967088
27,15.885983387060541,28.472599542378465,0.5579393396593777,16.159263122723718,27.428648049825981,0.58913815560173921
28,15.953901217635183,28.331147212084083,0.56312231545746816,16.691709809672343,27.982651373946414,0.59650208218701395
29,15.328279843742301,28.395606322007339,0.53981167614168823,15.986760632685321,27.326279164089655,0.58503247136895387
30,15.961597593463633,28.364381651239835,0.56273384661519443,15.894987694136407,28.331282539299959,0.56104017430511843
31,15.825882305471263,29.561109449738147,0.53536158148527979,15.109657787256197,30.035396308684636,0.50306170865763766
32,16.426042853971168,28.820350041558861,0.56994598713356581,15.850614155108037,29.688184468203264,0.53390311462408258
33,15.600020846687841,30.750379806676364,0.5073114850861401,15.945764689938212,30.724990570772587,0.51898355031902788
34,15.909961013154017,30.50043477521821,0.52163063019944089,15.292364515532544,30.021415100448472,0.5093818683884791
35,16.358572505881924,30.414732598171408,0.53785028203290641,15.778591397890233,31.238997412228581,0.50509275920979668
36,14.449678837773543,31.016039071406226,0.46587763203763638,14.453375171623115,31.631666842040449,0.45692739632720469
37,14.340556921384291,32.244758267345723,0.44474071731240045,15.460900714962733,31.454710727711678,0.49152894295548683
38,14.711561216602901,31.759282792394355,0.46322082626267597,14.576804834615013,31.820852665735693,0.45808969947279693
39,14.404710592943966,32.49455311103641,0.44329615932005439,13.842267428064869,33.162108957053697,0.41741215692859518
40,14.723353489014873,33.638715187930444,0.43769072055099195,13.894234306893861,32.297301008839447,0.43019800023200538
41,14.770379795031342,32.60472847010827,0.45301342744113626,13.630045968557194,32.746785444696243,0.41622546407115368
42,12.893928205433067,33.478407120939139,0.38514162752290965,14.563715029372091,33.200314763670605,0.43866195646158196
43,13.392476312385439,34.917464100435417,0.38354664800008875,13.595121250637117,34.747212435252017,0.39125789661459254
44,14.345987580759527,34.731921441728481,0.41304906222445892,14.427170638235731,34.355828677947962,0.41993371120447243
45,13.48862942007597,34.932441417502659,0.38613474674912318,13.794825081753793,34.614616091547447,0.39852601702326418
46,13.75278959823698,34.622004850649454,0.3972268404895391,13.790828916318452,35.631451619054879,0.38704089476229575
47,13.85273190739723,35.435421622638827,0.39092894265288092,13.950981285069917,34.701414590271725,0.40202918093664597
48,13.581457047642838,36.004401187942591,0.37721657907175782,13.155309358689644,35.684195770253659,0.36865926426891504
49,13.352545146202198,35.83545529720989,0.37260710197372077,13.609915114278985,35.837075221766874,0.37977192697948009
50,14.153119952867616,36.614796828996063,0.38654099376729162,12.861692156829001,38.083956585822186,0.33771943122152187
51,12.680943475288069,36.829859342010913,0.34431148263504852,12.849846455519407,37.463684346294734,0.34299473422694193
52,12.089228546390608,38.826031570120918,0.31136915253770187,12.214061281521131,38.259786917968945,0.31924018049835823
53,12.60130622806755,38.41333754816911,0.32804507580904446,12.258887461885299,38.572628749233637,0.31781311928679112
54,12.954296181585214,38.002978222044447,0.34087581520310412,12.289877641842876,39.172366793808642,0.31373845002863965
