,S_euc,D_euc,S/D_euc,S_cos,D_cos,S/D_cos
2,0.28575082616102676,0.029083087704021376,9.8253262882233585,0.28575082616102682,0.029083087704021376,9.8253262882233603
3,0.37785832657989654,0.09400594388253293,4.0195152665246061,0.36429699875122767,0.097260588427311945,3.7455767504788064
4,0.43150770291172758,0.063916244468853536,6.751142944920705,0.4261659834969968,0.065296172785980294,6.5266609866068395
5,0.47778366367244302,0.12378325839788311,3.8598407398250707,0.48356729875420557,0.13720001836628737,3.524542522022192
6,0.48971455194133368,0.12820638677956653,3.8197360072500239,0.50276474084770528,0.10460580322548652,4.8062796264176093
7,0.51224407215547685,0.14437415667366105,3.5480316142267605,0.51961867888845914,0.1298471231654259,4.0017727479912066
8,0.5413774991176139,0.11763367332080805,4.6022323696479379,0.55428345269626389,0.11178301154150555,4.9585661099357292
9,0.54989231482787682,0.14390753821760488,3.8211501748878218,0.56829162118039145,0.1466552975867759,3.8750159764541303
10,0.58582760492306629,0.15766436431335965,3.7156627464575798,0.5700161541154507,0.12905729693327936,4.4167681150965086
11,0.59470362630019313,0.19414649909740672,3.0631694574199857,0.58387491429440208,0.18466330575156636,3.1618350593155107
12,0.62661011695006397,0.21480669023685486,2.9170884587399835,0.6305131562717049,0.21237444789992038,2.9688748458516478
13,0.62488343790881062,0.25248180956757371,2.4749641923869694,0.64889323131345944,0.19444461695504189,3.3371622288905636
14,0.64936611073878947,0.29045139114510943,2.2357135497910781,0.64322781815403263,0.27362670058828226,2.3507494581893082
15,0.65144187830640954,0.279441950142373,2.3312243490088234,0.64190445927980833,0.28761169631429273,2.231844071384204
16,0.65892866911230097,0.31388027136612806,2.0992994119840316,0.68302170275797258,0.33901018238239133,2.0147527662975873
17,0.68295731906334833,0.26345193813240886,2.5923412213429966,0.68014844760323268,0.32238936374510085,2.1097111880558077
18,0.71031648591041785,0.27264735200479667,2.6052572331526669,0.71464780764435909,0.28766683071603805,2.4842899192288281
19,0.71441458164981031,0.35661643174093277,2.0033136952276029,0.68257293502687444,0.35721064013386844,1.9108415549186135
20,0.70710335309626726,0.32967461128517506,2.1448523146497589,0.72020235811905253,0.33999083640140737,2.118299321658045
21,0.73704037867396466,0.35928175729363943,2.0514272258793946,0.74220211696858007,0.40752573764408007,1.8212398590068823
22,0.73625357882461917,0.37222311332702851,1.9779899540460832,0.72342527195237116,0.37888514875772233,1.9093524101546788
23,0.76768033451355999,0.37311910326924363,2.0574672478230096,0.74088948334495364,0.39349913282102827,1.882823674942953
24,0.77673747306031637,0.43278428884164932,1.7947450799086551,0.77349945591455038,0.38817051955654236,1.9926795491791065
25,0.7630051854984764,0.43901399170356398,1.7379974213069762,0.77351486076570353,0.3722620426506329,2.0778773340897545
26,0.76658420347803446,0.41553911355422252,1.8447943369788342,0.76915103975656196,0.43973407789369134,1.7491276624289951
27,0.77518613497062749,0.48726672742330002,1.590886656821132,0.78357356367786135,0.45090729738097707,1.7377708638319298
28,0.80422042811904915,0.47154347461713214,1.7055064302862695,0.8004955883863889,0.45928117301734345,1.7429314228740669
29,0.79572074850221886,0.45725424616509436,1.7402151104681467,0.80484191654671899,0.40082879799376653,2.0079443407637481
30,0.82141524956845502,0.42454756899803331,1.9348014440574035,0.82314469090071352,0.45485446280801112,1.8096880611417756
31,0.8311020495259881,0.50976947805125339,1.6303487856964776,0.82452174613955898,0.48426342979026976,1.7026306250229386
32,0.81376318323946517,0.51143028711429994,1.5911517243748934,0.80895213690127754,0.51788249863246083,1.5620379893845142
33,0.82361291149353621,0.47810231694643357,1.7226708223332319,0.82448459190058998,0.42951978656928719,1.9195497336362868
34,0.84243020738134,0.48481654975799249,1.7376267534634673,0.83757489609679636,0.48929884886483044,1.7117859525726735
35,0.84661515682412769,0.49353755643186253,1.7154016868440909,0.84307312768472875,0.49300666601269266,1.7100643577566221
36,0.85738067569766341,0.49790781191589856,1.7219667078500935,0.86630933691244516,0.49993662101071573,1.7328383249081418
37,0.85267888028852634,0.54826832593584596,1.5552218502374331,0.85384067607427916,0.51593313901826332,1.6549444327204854
38,0.86803455173332511,0.48510143722496807,1.7893877138334884,0.86663621546473524,0.53527111460370458,1.6190603076094652
39,0.85262731904774514,0.56576813662955061,1.507026048032857,0.84824288681157534,0.54485013352957945,1.5568370724562279
40,0.87593814034165329,0.55235308276445683,1.5858300925156323,0.85711384080974473,0.52602606955258324,1.6294132371400747
41,0.86958195274601213,0.55944653568716085,1.5543611360072433,0.86559512395480676,0.54685843679359214,1.5828504521756506
42,0.86977383875769343,0.53385984842529666,1.6292175583596102,0.86633758311706877,0.57482782949856681,1.5071253315497815
43,0.87287158744474636,0.56733036813588433,1.5385596056012292,0.87678253818595353,0.53367489520543265,1.6429150894355731
44,0.8810267691325776,0.56002152962342311,1.5732016048115309,0.88954359312179043,0.57197821615294675,1.55520536971626
45,0.89046038681103368,0.55321345238205488,1.6096144860123043,0.88517662727089763,0.55625943293822699,1.5913017826867075
46,0.8879058886399932,0.56179421788716277,1.580482426428836,0.90191055656154828,0.58342782586103592,1.5458819696000758
47,0.89224582978476308,0.55542345714520303,1.6064244646252046,0.90153835797712878,0.57116604711671926,1.5784172790524733
48,0.89448533748633974,0.60574728954755885,1.4766642012619542,0.8929211303730602,0.58372669241876829,1.5296904218532368
49,0.9125355138613428,0.57792512753123848,1.5789857031471912,0.91516725776645824,0.55806485416620566,1.6398940928358454
50,0.90260000454911993,0.60021792240903238,1.5037871593811261,0.90334614593489437,0.61586502556483669,1.466792411383316
