,antecedants,consequents,support,confidence,lift
0,frozenset(['GI_12232456-S']),frozenset(['GI_14042952-S']),0.0957446808511,0.833333333333,8.7037037037
1,frozenset(['GI_14042952-S']),frozenset(['GI_12232456-S']),0.0957446808511,0.833333333333,8.7037037037
2,frozenset(['GI_15147249-S']),frozenset(['GI_13194196-S']),0.0957446808511,0.666666666667,6.96296296296
3,frozenset(['GI_13194196-S']),frozenset(['GI_15147249-S']),0.0957446808511,0.666666666667,6.96296296296
4,frozenset(['GI_15451788-S']),frozenset(['GI_13376030-A']),0.0957446808511,0.722222222222,7.54320987654
5,frozenset(['GI_13376030-A']),frozenset(['GI_15451788-S']),0.0957446808511,0.722222222222,7.54320987654
6,"frozenset(['GI_10864030-S', 'GI_14916472-S'])",frozenset(['GI_13376746-S']),0.0744680851064,0.928571428571,9.69841269841
7,"frozenset(['GI_14916472-S', 'GI_13376746-S'])",frozenset(['GI_10864030-S']),0.0744680851064,0.928571428571,9.69841269841
8,"frozenset(['GI_10864030-S', 'GI_13376746-S'])",frozenset(['GI_14916472-S']),0.0797872340426,0.866666666667,9.05185185185
9,frozenset(['GI_14916472-S']),"frozenset(['GI_10864030-S', 'GI_13376746-S'])",0.0957446808511,0.722222222222,9.05185185185
10,frozenset(['GI_10864030-S']),"frozenset(['GI_14916472-S', 'GI_13376746-S'])",0.0957446808511,0.722222222222,9.69841269841
11,frozenset(['GI_13376746-S']),"frozenset(['GI_10864030-S', 'GI_14916472-S'])",0.0957446808511,0.722222222222,9.69841269841
12,frozenset(['GI_14670387-A']),frozenset(['GI_14165470-S']),0.0957446808511,0.666666666667,6.96296296296
13,frozenset(['GI_14165470-S']),frozenset(['GI_14670387-A']),0.0957446808511,0.666666666667,6.96296296296
14,"frozenset(['GI_12597630-S', 'GI_12232456-S'])",frozenset(['GI_14042952-S']),0.0691489361702,0.923076923077,9.64102564103
15,"frozenset(['GI_12597630-S', 'GI_14042952-S'])",frozenset(['GI_12232456-S']),0.0691489361702,0.923076923077,9.64102564103
16,"frozenset(['GI_12232456-S', 'GI_14042952-S'])",frozenset(['GI_12597630-S']),0.0797872340426,0.8,8.35555555556
17,frozenset(['GI_12597630-S']),"frozenset(['GI_12232456-S', 'GI_14042952-S'])",0.0957446808511,0.666666666667,8.35555555556
18,frozenset(['GI_12232456-S']),"frozenset(['GI_12597630-S', 'GI_14042952-S'])",0.0957446808511,0.666666666667,9.64102564103
19,frozenset(['GI_14042952-S']),"frozenset(['GI_12597630-S', 'GI_12232456-S'])",0.0957446808511,0.666666666667,9.64102564103
20,"frozenset(['GI_14249309-S', 'GI_14600335-S', 'GI_10864030-S', 'GI_14249467-I'])",frozenset(['GI_13376746-S']),0.063829787234,1.0,10.4444444444
21,"frozenset(['GI_14249309-S', 'GI_13376746-S', 'GI_14600335-S', 'GI_14249467-I'])",frozenset(['GI_10864030-S']),0.063829787234,1.0,10.4444444444
22,"frozenset(['GI_14249309-S', 'GI_13376746-S', 'GI_10864030-S', 'GI_14249467-I'])",frozenset(['GI_14600335-S']),0.063829787234,1.0,10.4444444444
23,"frozenset(['GI_14249309-S', 'GI_14600335-S', 'GI_10864030-S', 'GI_13376746-S'])",frozenset(['GI_14249467-I']),0.063829787234,1.0,10.4444444444
24,"frozenset(['GI_13376746-S', 'GI_14600335-S', 'GI_10864030-S', 'GI_14249467-I'])",frozenset(['GI_14249309-S']),0.0691489361702,0.923076923077,9.64102564103
25,"frozenset(['GI_14249309-S', 'GI_14600335-S', 'GI_14249467-I'])","frozenset(['GI_10864030-S', 'GI_13376746-S'])",0.063829787234,1.0,12.5333333333
26,"frozenset(['GI_14249309-S', 'GI_10864030-S', 'GI_14249467-I'])","frozenset(['GI_14600335-S', 'GI_13376746-S'])",0.0691489361702,0.923076923077,13.349112426
27,"frozenset(['GI_14249309-S', 'GI_13376746-S', 'GI_14249467-I'])","frozenset(['GI_14600335-S', 'GI_10864030-S'])",0.063829787234,1.0,13.4285714286
28,"frozenset(['GI_14249309-S', 'GI_14600335-S', 'GI_10864030-S'])","frozenset(['GI_13376746-S', 'GI_14249467-I'])",0.0691489361702,0.923076923077,11.5692307692
29,"frozenset(['GI_14249309-S', 'GI_14600335-S', 'GI_13376746-S'])","frozenset(['GI_10864030-S', 'GI_14249467-I'])",0.063829787234,1.0,12.5333333333
